congress,rollcall_key,chamber,bill_number,dimension,dimension_name,centrix_aligned_position,description,bill_url,vote_url
,RC001,House,S.129,1,Wages & producer economy,Yea,No Tax on Tips Act to exempt reported tip income from federal income tax for tipped workers,,
,RC002,House,H.R.6644,2,Housing & family formation,Yea,21st Century ROAD to Housing Act to increase housing supply and affordability and reform local zoning,,
,RC003,Senate,S.J.Res.__,3,Cost of essentials & sound money,Yea,Joint resolution to terminate the national emergency imposing broad tariffs on imported goods,,
,RC004,House,H.R.1,4,Safety net with an off-ramp,Nay,"Reconciliation Act making changes to taxes, Medicaid, and SNAP nutrition assistance",,
,RC005,House,H.R.4317,5,Small-scale enterprise & anti-monopoly,Yea,Pharmacy Benefit Manager transparency and reform to curb middleman spread pricing on prescription drugs,,
,RC006,House,H.Con.Res.86,6,Domestic strength & non-intervention,Yea,War Powers Resolution to remove United States Armed Forces from hostilities with Iran,,
,RC007,House,H.Res.519,8,Freedom of conscience & pluralism,Yea,Resolution condemning political violence and rejecting rhetoric that dehumanizes political opponents,,
,RC013,House,H.R.4488,6,Domestic strength & non-intervention,Yea,Bill to fund domestic critical minerals and rare earth production for energy independence,,
,RC014,House,H.R.5120,7,Localism & decentralization,Yea,Bill establishing block grants returning authority to states and local governments,,
,RC015,House,H.R.3901,1,Wages & producer economy,Yea,Bill to expand registered apprenticeship and job training programs for workers,,
