vote_key,chamber,congress,session,bill_or_amendment,short_description,dimension,dimension_name,centrix_aligned_position,rationale,leaning_of_aligned_position,roll_call_source_url,notes
REAL-01,Senate,119,,S.129,"No Tax on Tips Act — exempt reported tips (up to $25k) from federal income tax",1,Wages & producer economy,Yea,"Lets working/tipped earners keep more of the value of their labor",Mixed,https://www.congress.gov/bill/119th-congress/senate-bill/129,"VERIFIED. Senate passed by unanimous consent, May 20 2025. Sponsor Cruz (R) with Dems Rosen & Cortez Masto. Bipartisan but near-unanimous = low discrimination."
REAL-02,House,119,,H.R.6644,"21st Century ROAD to Housing Act — increase housing supply/affordability",2,Housing & family formation,Yea,"Boosts supply to restore affordability",Mixed,https://www.congress.gov/bill/119th-congress/house-bill/6644/text,"VERIFIED. House 390-9; Senate 89-10. Near-unanimous — real but low discrimination."
REAL-03,Senate,119,,Tariff repeal resolutions (Canada/global),"Joint resolutions to end broad Trump tariff emergencies",3,Cost of essentials & sound money,Yea,"Broad across-the-board tariffs raise household + small-producer costs (aligned = repeal)",Mixed,https://rollcall.com/2025/04/02/four-republicans-help-democrats-pass-measure-to-end-canadian-tariffs/,"VERIFIED (Senate). e.g. 51-47. GOP yes: Collins, Murkowski, McConnell, Paul. CONTESTED within Centrix vs targeted industrial policy."
REAL-04,House,119,,H.R.1,"Reconciliation 'One Big Beautiful Bill' — tax + deep Medicaid/SNAP cuts",4,Safety net with an off-ramp,Nay,"Deep cuts to the net without an off-ramp redesign",Left-coded,https://www.congress.gov/bill/119th-congress/house-bill/1/text,"VERIFIED. House 215-214. GOP no: Massie, Davidson; Garbarino present; all Dems no. JUDGMENT CALL — omnibus."
REAL-05,House,119,,S.526 / H.R.4317,"PBM (pharmacy benefit manager) transparency & reform — curb middleman spread pricing",5,Small-scale enterprise & anti-monopoly,Yea,"Curbs dominant middlemen; helps independent pharmacies and patients",Mixed,https://www.congress.gov/bill/119th-congress/senate-bill/526,"VERIFIED (bipartisan). PBM reforms advanced/enacted via broader legislation. Grassley (R)-Cantwell (D). Confirm exact roll call when finalizing."
REAL-06,House,119,,H.Con.Res.86,"Iran War Powers — remove US forces from hostilities with Iran",6,Domestic strength & non-intervention,Yea,"Restraint abroad; redirect resources home",Mixed,https://www.congress.gov/bill/119th-congress/house-concurrent-resolution/86/text,"VERIFIED. House ~214-208. GOP yes: Massie, Davidson, Fitzpatrick, Barrett. Senate companion failed 47-49 (Paul, Collins, Murkowski, Cassidy). Cleanest discriminating vote."
REAL-07,House,119,,H.Res.519 / H.Res.746,"Condemning political violence and rejecting dehumanizing rhetoric",8,Freedom of conscience & pluralism,Yea,"Upholds the one absolute limit: no violence against fellow citizens",Mixed,https://www.congress.gov/bill/119th-congress/house-resolution/746,"VERIFIED. H.Res.519 agreed to Jun 25 2025; H.Res.746 condemns all political violence. Near-consensus (use a clean, non-partisan resolution — NOT a person-specific one that confounds party)."
REAL-08,House,119,,H.R.4776,"SPEED Act — federal permitting reform (NEPA) to speed domestic energy/infrastructure",6,Domestic strength & non-intervention,Yea,"Build domestic energy and infrastructure faster",Right-coded,https://www.congress.gov/bill/119th-congress/house-bill/4776,"VERIFIED. House 221-196, Dec 18 2025. Bipartisan sponsors Westerman (R) / Golden (D); 11 Dems in favor. Right-leaning aligned position — balances the basket."
REAL-09,House,119,,H.R.1366,"Mining Regulatory Clarity Act — domestic critical-mineral/mining production",6,Domestic strength & non-intervention,Yea,"Invest in domestic resources and self-sufficiency",Right-coded,https://www.congress.gov/bill/119th-congress/house-bill/1366,"VERIFIED. House 219-198."
REAL-10,House,119,,H.R.3616,"Reliable Power Act — grid reliability / prevent premature power-plant retirements",3,Cost of essentials & sound money,Yea,"Keep electricity reliable and affordable",Right-coded,https://www.congress.gov/bill/119th-congress/house-bill/3616,"VERIFIED. House 225-203."
REAL-11,House,119,,H.R.471,"Fix Our Forests Act — active forest management, wildfire mitigation",6,Domestic strength & non-intervention,Yea,"Steward domestic land and reduce wildfire risk",Mixed,https://www.congress.gov/bill/119th-congress/house-bill/471,"VERIFIED. House 279-141. Bipartisan (Westerman R / Peters D)."
REAL-12,House,119,,S.146 / H.R.633,"TAKE IT DOWN Act — platforms must remove nonconsensual intimate images",8,Freedom of conscience & pluralism,Yea,"Protect citizens' dignity and safety online",Mixed,https://www.congress.gov/bill/119th-congress/senate-bill/146,"VERIFIED. House Roll Call 104, Apr 28 2025, 409-2; Senate by unanimous consent. Score the House roll call. Near-unanimous = low discrimination."
REAL-13,House,119,,H.R.1402,"TICKET Act — all-in ticket pricing and fee transparency (targets Ticketmaster/Live Nation)",5,Small-scale enterprise & anti-monopoly,Yea,"Curb a dominant ticketing middleman's hidden fees; consumer transparency",Mixed,https://www.congress.gov/bill/119th-congress/house-bill/1402,"VERIFIED. House 409-15, Apr 29 2025 (suspension). Bipartisan. Near-unanimous = low discrimination."
GAP-07,,119,,(no clean vote yet),"Localism & decentralization — no clean NON-PARTISAN floor vote this session",7,Localism & decentralization,,"CRA/REINS-type votes exist but are party-line coded; scoring them would bias the basket and fail the party-symmetry test",,,"HONEST GAP. Options: use co-sponsorship signal (Section 4), or wait for a bipartisan federalism vote. Do NOT force a partisan vote in."
