rollcall_key,chamber,date,bill_number,description
RC001,House,2025-05-20,S.129,"No Tax on Tips Act to exempt reported tip income from federal income tax for tipped workers"
RC002,House,2026-03-01,H.R.6644,"21st Century ROAD to Housing Act to increase housing supply and affordability and reform local zoning"
RC003,Senate,2025-04-02,S.J.Res.__,"Joint resolution to terminate the national emergency imposing broad tariffs on imported goods"
RC004,House,2025-05-22,H.R.1,"Reconciliation Act making changes to taxes, Medicaid, and SNAP nutrition assistance"
RC005,House,2025-09-10,H.R.4317,"Pharmacy Benefit Manager transparency and reform to curb middleman spread pricing on prescription drugs"
RC006,House,2026-07-23,H.Con.Res.86,"War Powers Resolution to remove United States Armed Forces from hostilities with Iran"
RC007,House,2025-06-25,H.Res.519,"Resolution condemning political violence and rejecting rhetoric that dehumanizes political opponents"
RC008,House,2025-03-04,H.R.1234,"Motion to proceed to consideration of the bill"
RC009,House,2025-03-04,H.Res.200,"Providing for consideration of the previous question"
RC010,House,2025-02-11,H.R.555,"Designating the facility as the John Q. Doe Post Office"
RC011,Senate,2025-02-14,PN123,"Confirmation of nomination of Jane Roe to be Secretary of Commerce"
RC012,House,2025-04-09,H.Res.310,"Recognizing the 100th anniversary of a civic organization"
RC013,House,2025-07-15,H.R.4488,"Bill to fund domestic critical minerals and rare earth production for energy independence"
RC014,House,2025-08-01,H.R.5120,"Bill establishing block grants returning authority to states and local governments"
RC015,House,2025-06-02,H.R.3901,"Bill to expand registered apprenticeship and job training programs for workers"
