rollcall_key,centrix_aligned_position,set_by,rationale
RC001,Yea,human,"Lets tipped workers keep more of their pay (dim 1)"
RC002,Yea,human,"Boosts housing supply to restore affordability (dim 2)"
RC003,Yea,human,"Broad tariffs raise household + small-producer costs; aligned = repeal (dim 3, contested)"
RC004,Nay,human,"Deep net cuts without an off-ramp redesign (dim 4, omnibus judgment call)"
RC005,Yea,human,"Curbs dominant PBM middlemen; helps independent pharmacies + patients (dim 5)"
RC006,Yea,human,"Restraint abroad; redirect resources home (dim 6)"
RC007,Yea,human,"Upholds the absolute no-violence limit (dim 8)"
RC013,Yea,human,"Invests in domestic resources / self-sufficiency (dim 6)"
RC014,Yea,human,"Pushes authority closer to communities (dim 7)"
RC015,Yea,human,"Builds skills so workers capture more value (dim 1)"
