congress,bill_number,centrix_aligned_position,prefer_desc_contains,dimension,rationale
119,S.129,Yea,tip,1,"No Tax on Tips — tipped workers keep more of their pay (dim 1)"
119,H.R.6644,Yea,housing,2,"ROAD to Housing — boost supply to restore affordability (dim 2)"
119,,Yea,tariff,3,"Repeal broad tariffs — lower household + small-producer costs (dim 3, contested). No fixed bill number; pick the disapproval/passage vote."
119,H.R.1,Nay,passage,4,"Reconciliation — deep net cuts without an off-ramp (dim 4, omnibus). Pick FINAL PASSAGE, not a procedural vote."
119,H.R.4317,Yea,pharmacy,5,"PBM reform — curb dominant middlemen (dim 5). Alt bill S.526; pick the passage vote."
119,H.Con.Res.86,Yea,Iran,6,"Iran War Powers — restraint abroad (dim 6)"
119,H.Res.519,Yea,political violence,8,"Condemn political violence — the absolute no-violence limit (dim 8). Alt H.Res.746; pick a clean, non-person-specific one."
119,H.R.4776,Yea,permit,6,"SPEED Act — permitting reform to build domestic energy/infrastructure faster (dim 6, right-leaning; bipartisan, Westerman R/Golden D). House 221-196."
119,H.R.1366,Yea,mining,6,"Mining Regulatory Clarity Act — domestic critical-mineral production (dim 6, right-coded). House 219-198."
119,H.R.3616,Yea,reliable,3,"Reliable Power Act — keep electricity reliable and affordable (dim 3, right-coded). House 225-203."
119,H.R.471,Yea,forest,6,"Fix Our Forests Act — active management of domestic forests / wildfire (dim 6; bipartisan, Westerman R/Peters D). House 279-141."
119,S.146,Yea,intimate,8,"TAKE IT DOWN Act — remove nonconsensual intimate images; protect citizens online (dim 8; bipartisan). House 409-2; Senate by unanimous consent (score the House roll call)."
119,H.R.1402,Yea,ticket,5,"TICKET Act — all-in ticket price + fee transparency, curbing the Ticketmaster/Live Nation fee model (dim 5; bipartisan). House 409-15, Apr 29 2025."
