member_id,name,party,chamber,rollcall_key,cast
M1,Sen. A. Champion,Ind,Senate,RC001,Yea
M1,Sen. A. Champion,Ind,Senate,RC002,Yea
M1,Sen. A. Champion,Ind,Senate,RC003,Yea
M1,Sen. A. Champion,Ind,Senate,RC004,Nay
M1,Sen. A. Champion,Ind,Senate,RC005,Yea
M1,Sen. A. Champion,Ind,Senate,RC006,Yea
M1,Sen. A. Champion,Ind,Senate,RC007,Yea
M1,Sen. A. Champion,Ind,Senate,RC013,Yea
M1,Sen. A. Champion,Ind,Senate,RC014,Yea
M1,Sen. A. Champion,Ind,Senate,RC015,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC001,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC002,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC003,Nay
M2,Sen. B. Crosser,PartyA,Senate,RC004,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC005,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC006,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC007,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC013,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC014,Yea
M2,Sen. B. Crosser,PartyA,Senate,RC015,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC001,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC002,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC003,Nay
M3,Rep. C. Partyline-Maj,PartyA,House,RC004,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC005,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC006,Nay
M3,Rep. C. Partyline-Maj,PartyA,House,RC007,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC013,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC014,Yea
M3,Rep. C. Partyline-Maj,PartyA,House,RC015,Nay
M4,Rep. D. Partyline-Min,PartyB,House,RC001,Yea
M4,Rep. D. Partyline-Min,PartyB,House,RC002,Yea
M4,Rep. D. Partyline-Min,PartyB,House,RC003,Yea
M4,Rep. D. Partyline-Min,PartyB,House,RC004,Nay
M4,Rep. D. Partyline-Min,PartyB,House,RC005,Yea
M4,Rep. D. Partyline-Min,PartyB,House,RC006,Yea
M4,Rep. D. Partyline-Min,PartyB,House,RC007,Present
M4,Rep. D. Partyline-Min,PartyB,House,RC013,Nay
M4,Rep. D. Partyline-Min,PartyB,House,RC014,Nay
M4,Rep. D. Partyline-Min,PartyB,House,RC015,Yea
M5,Sen. E. Mixed,PartyB,Senate,RC001,Yea
M5,Sen. E. Mixed,PartyB,Senate,RC002,Nay
M5,Sen. E. Mixed,PartyB,Senate,RC003,Yea
M5,Sen. E. Mixed,PartyB,Senate,RC004,Yea
M5,Sen. E. Mixed,PartyB,Senate,RC005,Nay
M5,Sen. E. Mixed,PartyB,Senate,RC006,Yea
M5,Sen. E. Mixed,PartyB,Senate,RC007,Yea
M5,Sen. E. Mixed,PartyB,Senate,RC013,Nay
M5,Sen. E. Mixed,PartyB,Senate,RC014,Yea
M5,Sen. E. Mixed,PartyB,Senate,RC015,Nay
M6,Rep. F. Absentee,PartyA,House,RC001,Yea
M6,Rep. F. Absentee,PartyA,House,RC002,Yea
M6,Rep. F. Absentee,PartyA,House,RC003,Yea
M6,Rep. F. Absentee,PartyA,House,RC004,Nay
M6,Rep. F. Absentee,PartyA,House,RC005,NV
M6,Rep. F. Absentee,PartyA,House,RC006,NV
M6,Rep. F. Absentee,PartyA,House,RC007,Yea
M6,Rep. F. Absentee,PartyA,House,RC013,NV
M6,Rep. F. Absentee,PartyA,House,RC014,NV
M6,Rep. F. Absentee,PartyA,House,RC015,Yea
